,Make,Model,Trim,Rebate-Fed,Year-Fed,Category,Eligibility
292,Nissan,Leaf,S,"$5,000",2018,BEV,2019-05-01
293,Nissan,Leaf,S,"$5,000",2019,BEV,2019-05-01
294,Nissan,Leaf,S Plus,"$5,000",2022,BEV,2021-08-23
295,Nissan,Leaf,S,"$5,000",2020,BEV,2020-01-09
296,Nissan,Leaf,SL Plus,"$5,000",2020,BEV,2020-01-09
297,Nissan,Leaf,SV Plus,"$5,000",2021,BEV,2020-11-20
298,Nissan,Leaf,S Plus,"$5,000",2021,BEV,2020-11-20
299,Nissan,Leaf,SV,"$5,000",2021,BEV,2020-11-20
300,Nissan,Leaf,SL Plus,"$5,000",2022,BEV,2021-08-23
301,Nissan,Leaf,SV,"$5,000",2020,BEV,2020-01-09
302,Nissan,Leaf,SL Plus,"$5,000",2021,BEV,2020-11-20
303,Polestar,2,LRDM,"$5,000",2023,BEV,2022-04-25
304,Polestar,2,LRSM,"$5,000",2023,BEV,2022-04-25
305,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2022,PHEV ,2022-01-17
306,Subaru,Crosstrek Plug-In Hybrid,PHEV,"$2,500",2023,PHEV,2022-08-12
307,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2020,PHEV,2020-01-08
308,Subaru,Crosstrek Plug-In Hybrid,Limited,"$2,500",2021,PHEV,2020-11-10
309,Toyota,Prius Prime,Base,"$2,500",2018,PHEV,2019-05-01
310,Toyota,Prius Prime,Technology,"$2,500",2020,PHEV,2019-06-06
311,Toyota,Prius Prime,Base,"$2,500",2019,PHEV,2019-05-01
312,Toyota,RAV4 Prime,SE,"$5,000",2022,PHEV,2022-01-21
313,Toyota,Prius Prime,Technology,"$2,500",2022,PHEV,2021-06-22
314,Toyota,Prius Prime,Base,"$2,500",2022,PHEV,2021-06-22
315,Toyota,Mirai,XLE,"$5,000",2022,FCEV,2022-04-25
316,Toyota,RAV4 Prime,XSE,"$5,000",2022,PHEV,2022-01-21
317,Toyota,Prius Prime,Upgrade,"$2,500",2020,PHEV,2019-06-06
318,Toyota,Prius Prime,Base,"$2,500",2020,PHEV,2019-06-06
319,Toyota,Prius Prime,Upgrade,"$2,500",2018,PHEV,2019-05-01
320,Toyota,Prius Prime,Technology,"$2,500",2019,PHEV,2019-05-01
321,Toyota,Prius Prime,Upgrade,"$2,500",2021,PHEV,2020-07-20
322,Toyota,Prius Prime,Upgrade,"$2,500",2019,PHEV,2019-05-01
323,Toyota,Prius Prime,Base,"$2,500",2021,PHEV,2020-07-20
324,Toyota,RAV4 Prime,SE,"$5,000",2021,PHEV,2020-08-12
325,Toyota,RAV4 Prime,XSE,"$5,000",2021,PHEV,2020-08-12
326,Toyota,Prius Prime,Technology,"$2,500",2018,PHEV,2019-05-01
327,Volkswagen,ID.4,Pro,"$5,000",2021,BEV,2021-03-30
328,Volkswagen,e-Golf,Comfortline,"$5,000",2019,BEV,2019-05-01
329,Volkswagen,ID.4,AWD Pro,"$5,000",2021,BEV,2021-03-30
330,Volkswagen,ID.4,Pro,"$5,000",2022,BEV,2022-04-25
331,Volkswagen,e-Golf,Comfortline,"$5,000",2020,BEV,2019-10-17
332,Volkswagen,e-Golf,Comfortline,"$5,000",2017,BEV,2019-09-16
333,Volkswagen,e-Golf,Comfortline,"$5,000",2018,BEV,2019-09-16
334,Volkswagen,ID.4,AWD Pro,"$5,000",2022,BEV,2022-04-25
335,Volvo,XC40,Recharge,"$5,000",2023,BEV,2022-08-16
336,Volvo,XC40 Recharge, ,"$5,000",2022,BEV,2022-04-25
337,Volvo,V60 Recharge,R Design (Extended Range),"$5,000",2022,PHEV,2022-04-25
338,Volvo,C40,Recharge,"$5,000",2023,BEV,2022-08-16
339,smart,EQ fortwo cabriolet,-,"$5,000",2018,BEV,2019-05-01
